query_id,query_text,y
231984,how far is palms casino from the airport in las vegas,1
801621,what is symptom of bipolar disorder,0
17818,anarkali bazar lahore,1
602317,what county is alma nebraska in?,1
978251,where is black river in new york,1
238608,how long a flight is it from ohio to hawaii,1
996006,where is the home show in san diego,1
610252,"what county is new ulm, tx in",1
610770,what county is orange city florida in,1
209256,"how big is norris lake, snellville",1
177258,early symptoms of shingles outbreak,0
54967,bnsf total employees,0
206038,"hotels in laredo, texas",1
231227,how far is houston tx from santo tx,1
232318,how far is st. louis from nashville,1
694830,what is a pie shaped lot,0
610242,what county is new ringgold pa,1
381590,how to stop toddler from hitting,0
283292,how many faa contract towers are there,0
790729,what is renters insurance,0
497115,should you taking a low paying job for experience,0
975943,where is 310 s peoria chicago il,1
1051691,who sings song with lyrics i shine so bright,0
1074299,why the death penalty is necessary,0
606064,what county is fort pierce florida in,1
27140,as a leader how did bill gates enable others,0
604625,what county is converse texas in,1
771812,what is micro oscillation technology,0
896657,what south central state border the gulf of mexico,1
44685,average temp in guadalajara in the winter,1
910563,what type of body cavity do mollusks have,0
974296,where does the gila and the colorado river meet,1
865489,what it means when your big toe is throbbing in pain,0
571268,what are the main region of corn production prevalent,0
322276,how much is it to go to legoland,1
47097,average weather in riviera maya in april,1
433028,jefferson county district court address louisville,1
852242,what is the uncus,0
621804,what do I need to know about traveling to ireland,0
905448,what time time zone is pa in,1
3812,How many driving miles from,1
959173,when was ocean springs discovered,0
321678,how much is annual.hazard insurance,0
863264,what is wisps,0
176340,dual agency definition,0
992612,where is seminole alabama,1
505277,"sumner county, ks, population",1
991975,where is runcorn england,1
820220,what is the employer tax,0
1001965,where was andersonville,1
1141792,where did hurricane andrew make landfall?,1
1123352,weather in erlanger ky,1
115456,dartmouth what province in canada,1
934947,wheelock boston location,1
493833,scorch trials dvd release date,0
545569,weather in plains montana month,1
226629,how does it feel to be on coke,0
605382,what county is east palo alto ca in?,1
825350,what is the human main muscles,0
1074847,why was earth day founded,0
96052,company dissolved meaning,0
372412,how to place well pump depth static water level,0
1123447,weather in bellagio italy,1
787967,what is psychology experiments,0
252512,how long does it take an outdoor marijuana plant to grow,0
53113,biggest gmc dealer omaha,1
415340,is kansas midwest,1
23233,are ketones visible in urine,0
1019702,which state is home to the largest beach in the united states,1
426660,is the last name horta polish german or what?,0
579747,what boundary is where the two plates meet in trenches are formed,0
614848,"what county is wooster, oh",1
986761,where is lockport,1
650552,what does the italian word cucina mean,0
1182550,heathrow- staines driving distance,1
978930,where is bugtussle,1
972450,where does alex wassabi live near,1
862126,what is washington state sales tax rate,0
390911,idaho has how many counties,0
933738,what's the weather like in bear shabba israel,1
608761,"what county is lone oak, tx",1
711466,what is an alkaline diet,0
988238,where is moore county,1
994599,where is the bay and where is the ocean in key biscayne,1
989319,where is nordic lodge,1
746267,what is family fest in milford,0
840183,what is the population of topeka kansas,0
981486,where is dodgers stadium located,1
669571,what hospital did seth rich die at,0
794489,what is sea carrier services,0
1163797,what county is lonoke ar in?,1
313356,how much does carpet cleaning cost per square meter,0
1053302,who was anna nicole smith,0
606417,what county is georgetown idaho in,1
1081036,xylooligosaccharide benefits,0
602115,what county is 43143 in,1
397038,interesting places in uruguay,1
106024,cost of parking garages,0
1019784,what states is mt mckinley in ],1
23736,are mood disorders genetic,0
257381,how long does it take to go around the world,1
975500,where house in ozark tv show located,1
112715,creutzfeldt-jakob definition,0
414911,is jake paul actually color blind,0
658572,what exams required to be an actuary,0
1141033,"where is labarge, wy",1
893097,what separates north korea from south korea,1
295873,how many situps should i do daily,0
522364,tongs 'definition,0
995768,where is the golden spike located today,1
984354,where is hemlock mi,1
108419,cost per square foot to install brick patio,0
1129685,how old is josie davis,0
638127,what does general jurisdiction mean,0
449834,meaning of the name joelyn,0
55658,bottle rack definition,0
114405,current weather in stresa italy,1
756930,what is ibm bluemix,0
459241,most romantic waterview restaurants cancun,1
55218,boils caused by dioxins,0
970198,where did woodstock occur,1
996820,where is wa,1
1085264,what county is the city of helena alabama,1
1085803,what company offers internet to the whittier area,1
933872,what's the weather outside of orlando,1
834851,what is the name of the artist from the renaissance period,0
231404,how far is jacksonville to pensacola fl,1
848526,what is the status bar in word,0
1162842,what do the flags on the krusty krab say,0
606661,what county is grasonville md in,1
973673,where does photosynthesis occur kids,0
38001,average iq test,0
542976,"weather forecast for davenport, ia",1
546781,weather today in kathmandu nepal,1
946026,when does best buy restock days,0
1136160,delta community cu atlanta ga routing number,0
419559,is nutrish good dog food,0
398159,iphone what's it mean when it has the little moon,0
297419,how many subscribers does netflix have,0
999022,where is truckee california,1
168984,does memantine cause heartburn or indigestion,0
1010755,which human activity has aggravated the ecological issue of global warming?,0
979151,where is calhan co,1
993095,where is soave from,1
986705,where is little switzerland north carolina,1
496316,should f/b/o be capitalized,0
724929,what is bluing,0
883305,what organ removes alcohol from blood,0
607694,"what county is jackson center, oh",1
614995,"what county is: new richmond, wi",1
998866,where is hokkaido on the globe located?,1
184780,fallout 3 where is three dog after washington monument,1
1120758,what county in missouri is oak grove,1
998591,where is mathura,1
982850,where is fort lauren in ohio located,1
607941,what county is kennesaw?,1
586112,what causes brown spots in zoysia grass,0
305562,how much do ethical hackers make,0
425429,is ted cruz a liar,0
202396,highest mt in nh,1
114514,custer sd is in what county,1
491781,salary level in mauritius,0
115903,dc to knoxville distance,1
25007,are solar changes affecting climate,0
153577,distance from laguna to beach to john wayne airport,1
614846,what county is woolstock iowa in?,1
943431,when do babies get less fussy,0
147447,difference between globalism vs populism,0
175926,"driving distance between denver, co and breckenridge, co",1
1065438,why do photos from samsung grand prime phone download not is same colors,0
607059,what county is hawks michigan  in,1
304896,how much do boat slips in newport beach cost?,1
216093,how do I find dogmeat in fallout 4,0
847324,what is the snowflake method,0
884343,what parish is carencro la,1
824453,what is the healthy temperature of a human,0
1004098,where was the upright piano developed,0
1019455,which spark plug wires are best,0
608109,what county is la mirada in,1
680626,what is a deed of trust in california,0
552764,"what airport is nearest to hilton dallas hotel in plano, texas",1
743766,what is encapsulated,0
1162483,what does a report and recommendation of general magistrate,0
910222,what type of alveolar cells produce surfactant quizlet,0
321879,how much is cost to plaster interior of a house?,0
1023433,whistler bc canada,1
990585,where is pine island nc,1
442942,look up what zone for flood insurance,1
410520,is france a command economy,0
978889,where is buckingham fountain illinois,1
975638,where in ma. is the wolf preserve,1
738053,what is default residential speed limit texas?,0
395258,independant contractor definition,0
1108018,define generalist,0
609863,what county is mount airy inn,1
959074,when was new louisiana governors mansion built,0
231031,how far is fort wayne in from st louis mo,1
190569,football schedule in hartford,1
388897,howq long does it take to go around lake trasimeno,1
1110724,what is the time difference between ga and south carolina,1
1135891,different number of lines in a stanza,0
853551,what is the weather in kennebunkport maine,1
366492,how to know what size envelope i have from usps,0
232587,how far is umdloti from ballito,1
1050172,who sang take a look ahead,0
368143,how to make a verb phone ring longer,0
608710,what county is loch sheldrake ny,1
611907,what county is richmond tx in,1
637076,what does esta mean in spanish,0
101024,cost for drilling a well in ohio,1
231606,how far is luverne mn fr sioux falls sd,1
833747,what is the most important driving technique to avoid crashes when driving in icy or snowy conditions?,0
863748,what is wyoming area,1
1008319,what's the weather in tbilisi georgia?,1
884733,what part of india is ambattur taluk in,1
539315,waratah flower,0
1167689,weather in north dakota in may,1
294204,how many quarts of of oil for a golf cart oil,0
347104,how to calculate length of roasting time for two meat roasts,0
552272,what airlines fly from ny to hilton head sc,1
611509,what county is port charlotte in,1
995928,where is the hartville flea market in ohio,1
776130,what is nerve entrapment symptoms,0
111321,cost to visit cardiologist,0
996259,where is the jw marriott in cabo,1
131353,definition magnolia urban dictionary,0
884428,what parish is reserve in?,1
808669,what is the best time to spay thistledown,0
885622,what payroll deduction is mpp,0
580020,what brands of sunglasses does costco carry,0
1083085,what does safety mean,0
878120,what mile marker is bear bottom,1
546275,weather in tropea italy,1
1042092,who is the voice of johnny the mouse in sing,0
972058,where do you collect tickets from at thorpe park,1
720459,what is astro cap manufacturing in dexter michigan,1
975594,where in georgia is fort benning,1
1007903,which county is liverpool california in,1
990034,where is palau,1
983919,where is gungywamp,1
514149,the amount of in the air varies greatly from place to place and time to time,0
974341,where does the interstate start,1
584157,what caused the disappearance of land bridges,0
59645,calories in a cup of ice cream,0
1146471,what river marks the border of nebraska,1
602811,what county is bandy va in,1
491953,salary of an orthodontic dental assistant,0
798056,what is something with metal samples,0
403269,is aruba near the bahamas,1
601911,"what county does waterbury, ct belongs to",1
57283,burning palms pregnancy,0
230557,how far is baltimore from detroit,1
552622,what airport is closest to pensacola florida,1
1167837,"weather in kudus, indonesia",1
106747,cost of residential wind turbine,0
979660,where is centv from,1
1059517,who's daughter is uma,0
359361,how to find the mountain time zone in all the time zones?,0
945605,when does a 16 year old have to file taxes,0
343031,how to add records to a table sql,0
1105375,where is hotel manzoni in milan,1
202228,"highest interest rates for savings in austin,tx",1
313287,how much does broccoli cost in canada,1
611868,what county is reynolds nd,1
88004,causes of prerenal acute kidney injury,0
416071,is lava hot springs in bannock county,1
614127,what county is villa park il in,1
720528,what is at luxor egypt,1
388437,how wide is the equator,1
829251,what is the main chemical messengers it send through the blood stream do its work,0
1000009,where is westmont illinois located,1
1148996,current weather in hilton head sc,1
1114553,what is gabled,0
545742,"weather in rockford, illinois fahrenheit",1
604570,what county is columbus ga located,1
762707,what is jwk public private,0
504032,stonehenge distance from london,1
853598,what is the weather in mears mi,1
735711,what is creamed honey,0
343099,how to add the site to trusted site,0
55113,body movement receptors are called quizlet,0
659348,what features of dugesia distinguish head from tail,0
945186,when do you get your tax return,0
145547,did the vary large japanese earthquake in the 2000's shift the earths axis and if so how much,0
83865,catalpa worm,0
992748,where is shawnee midwest,1
695886,what is a preprocessor directive c++,0
222178,how do you find the volume of a cube prism,0
984097,where is hanoi vietnam located,1
1124286,tiverton baycoast branch,1
178233,effect of decreasing volume on equilibrium,0
230254,how far from miami port to miami airport,1
339623,how soon can you withdraw funds on indiegogo,0
1108867,what state is lackland in,1
704774,what is a unique culture?,0
971617,where do subduction plate boundaries occur,0
163,+how long does it take for you to recieve your ged diploma,0
285962,how many hours does interphase usually last,0
91748,childcare network in little rock ar,1
558450,what are examples of jargon,0
1108770,define chutzpah,0
32367,average cost for laser hair removal,0
609233,what county is mcallen texas in,1
12802,age child can babysit,0
658869,what factor can best measure development,0
374801,how to read latitude longitude,0
673964,what is a baby grasshopper called,0
439678,liberty county texas real property filing fee,0
864031,what is xrp,0
1181231,"how far is dinuba, ca from strathmore,ca?",1
3201,HIV texas Reporting Laws,0
964914,where are alpine goats located,1
1171750,biggest jail near chicago,1
914435,what type of root is broccoli,0
985870,where is kingsteignton,1
241121,how long can a chameleon survive without food,0
990478,where is ph mostly acidic in the mitochondria,0
608083,"what county is kopperston, wv in",1
377900,how to roast lamb loin chops in pressure cooker,0
1145626,"what time zone is humboldt, sk, canada",1
996186,where is the island of chuuk,1
1030274,what is the weather like in chicago in the summer,1
865243,what island is off south carolina,1
256068,how long does it take to cook lamb chops in the oven,0
367860,how to make a picture frame stand up,0
1178120,how many syrian rebels join isis,0
987373,where is marion county arkansas,1
544818,"weather in league city, texas fahrenheit",1
230985,how far is fayetteville from charlotte,1
239607,how long and what temp to cook a small chicken,0
835619,what is the name of the small gap that separates the axon terminal of a nerve from the sarcolemma,0
1179887,how long is the rio de la plata river,1
549333,what about h&f museum?,0
1161841,what does dual zone area means,0
327864,how much snow did london ontario get yesterday,1
1107665,what was the name of the plantation in django,0
439548,lexapro withdrawal high blood pressure,0
853606,what is the weather in mesquite nevada,1
884348,what parish is clinton louisiana in,1
980638,where is county kilkenny located,1
231579,how far is lithia parks ga to columbus ga,1
16676,american family insurance centralia hours,0
1025356,who coined the term thagomizer?jjjjjjjjjjjjjj,0
690095,what is a marianas web,0
212609,how deep should i lay gravel,0
989990,where is paddy's pub in philly,1
612950,what county is sparks maryland in,1
1152925,what is rizzo's first name,0
988661,where is murphy nc,1
879249,what movie gave steven spielberg an academy award,0
1168938,types of headaches back of head,0
988271,where is morecambe,1
965002,where are bc fires burning near,1
1134877,foods to lower cholesterol diet+printable,0
990826,where is port jervis ny,1
154336,divorce military retirement entitlement,0
1171423,prosecuted definition,0
568250,what are the classes of lasers\,0
620829,what direction does northwest wind come from,0
388439,how wide is the florida peninsula,1
264767,how long is the drive from new york to washington dc,1
876519,what materials are used to create headphones,0
1167902,"weather in grayling, mi",1
801793,what is system integration test,0
307252,how much do sea turtles eat every day,0
34720,average cost of winnebago trivago,0
574456,what are the temperatures like in jamaica,1
302110,how much are bus trips from Jamestown to nyc?,1
750276,what is gemelli pasta,0
890239,what range should vitamin d blood test b at,0
82826,carmel ny is in what county,1
965035,where are bobcats found,1
268888,how long to charge batteries,0
114413,current weather in vieques,1
918718,what was life like for japanese once they came to canada.?,0
256398,how long does it take to finish nursing school,0
216855,how do dmv make the driver test,0
1088999,versum materials us,0
884417,what parish is norfolk arkansas,1
182560,example of strictly concave function,0
552812,"what airport is waikoloa, hi",1
1120009,what district in missouri is muntzel,1
232361,how far is tamborine from southport,1
990148,where is paramaribo,1
524399,treatment for thyroid potassium,0
999336,"where is uspi located, corporate office",1
989135,where is new river az,1
984041,where is hamilton nj,1
710552,what is an ABN with medicare,0
612884,"what county is south bend, in?",1
436233,largest companies in aviation,0
972440,where does africa join australia,1
263624,how long is ferry from calais to dover,1
1120700,what county is chillum maryland in,1
1160419,what does the china dollar mean,0
1155394,what is enterprise company,0
1125245,spinach avocado salad calories,0
341082,how tall is lexi thompson weight,0
231310,how far is it from doha to dubai,1
14656,agrona name meaning,0
208964,how big is an acre of land meters,0
1145697,what time is it in gruver tx,1
1003779,where was the fort king's fort in,1
735251,what is cost to remodel kitchen,0
511790,temperature elyria ohio weather,1
16845,american standard toilet tank lid replacement,0
151853,directions from owen sound to first ontario centre,1
548352,were is DSM in africa,1
836226,what is the new beer at texas motor speedway,0
999180,where is ucla?,1
264261,how long is para professional license for,0
542865,weather elkhart in,1
1100615,fca freight term,0
416626,is loma linda level i trauma center,0
544389,weather in guanacaste august,1
967412,where can deciduous forests be found,1
443890,lymphoma patients who die from cardiac failure,0
991428,where is reelfoot lake located,1
574759,what are the three parts of the reading process,0
525083,trump's biggest lie,0
1057135,who was william shakespeare and what was his role in the renaissance?,0
1031994,who is david wolfe,0
1099654,how big is riverside county california?,1
287982,how many lux do they call play for bad light in cricket,0
464757,no amd graphics driver is installed after restart,0
982018,where is eisenach located,1
1007857,which county is dublin methodist hospital located?,1
78386,can you issue visa in lidl,0
445455,marine base in parris island sc,1
1184381,distance between jamestown nd and gary in,1
235828,how important letter of recommendation is sdn,0
1121419,what can cause lack of sensation before bowel movement?,0
504259,strawberry point iowa population,0
252068,how long does homemade soup last in fridge?,0
554077,what antidepressants increase dopamine,0
614703,"what county is wilmington, delaware in",1
832647,what is the mid-hudson region,1
60297,calories in fry bread,0
117359,define aerobic metabolism,0
232262,how far is shelby nc from winston salem,1
686207,what is a hailing port definition,0
1104774,which - replacement conservatory roof,0
415869,is lake erie connected to the ocean,1
465388,normal growth of baby during pregnancy,0
250979,how long does bone in chicken breast take to grill,0
855458,what is there to do in warwick town center this weekend,1
821553,what is the first step in the scientific method,0
1025837,who created the hillary blackberry meme,0
1129152,"if the concentration of both a and b are doubled, how will this affect the rate of the reaction?",0
1010534,which herb can heal bladder,0
1078222,what important job do the lysosomes have,0
982705,where is flint mined in ohio,1
1182936,"general surgeon in methuen, ma",1
1119248,what does civil process,0
710396,what is amnesia,0
230290,how far from the earth are the clouds,0
522660,top romantic place in kolkata,1
1007666,which correctly describes linnaeus system,0
100509,cost cutters barrow alaska,1
978322,where is bloomingdale park,1
1184834,delta dental tennessee phone number,0
854057,what is the weather today for mount orab ohio,1
822525,what is the function of intercalated discs in cardiac muscle,0
1026725,who died on palatine road in palatine,1
150818,different types of proteins in the body,0
605821,what county is falmouth ky in,1
578540,what battery do i have in my laptop,0
606578,what county is gouverneur ny in,1
452878,message on phone says galaxy core prime battery damaged,0
196301,govinda actor,0
905810,what time zone is oviedo fl in?,1
600713,what continent is germany and austria located,1
673788,what is a apple airport,0
603941,what county is carmichael ca in,1
227826,how does the ana support obesity,0
1002984,where was movie theri filmed,1
995987,where is the hills tx,1
513277,term for the science definition for energy required to produce a magnetic field,0
545949,weather in sharm el sheikh.,1
175955,driving distance durham to washington dc,1
113850,current gopro stock price,0
965907,where are new franchises needed,0
610339,what county is newville pa in,1
480692,price of gas in orlando fl,1
609097,what county is marine city mi in,1
669443,what hormone stimulates the formation of glycans on,0
1120460,what county is pawleys island sc,1
803324,what is tested with a complete blood count,0
105273,cost of living in palo alto,1
123403,define liquid funds,0
316901,how much does it cost to ship a car to cameroon,1
323042,how much is tamra barney worth,0
718829,what is aol chat,0
357912,how to figure the diameter of a car tire,0
795828,what is shipping point determination,0
1137851,american income life alaska,0
523156,town of bourne ma dump hours,1
1004987,which airport is closest to sherman oaks ca,1
1027156,who do you make a football,0
899246,what structure do slugs use to move,0
539581,was a tax that had to be paid before a person could vote,0
933655,what's the weather in roseburg,1
