query_id,query_text,y
602089,what county is  raleigh nc in,1
320067,how much gas is in a barrel of crude,0
1152306,what is the adr,0
240445,how long before chickens lay eggs,0
610706,what county is omaha ne located,1
740462,what is dmas,0
1063249,why did the attack on judiciary act happen,0
300373,how many world series has the cardinals won,0
774709,what is my medicare card number,0
279394,how many children does steve harvey have,0
1008297,what's the weather like in san francisco in november,1
399173,is 58 old,0
1234,3 people who were important of the european renaissance time period,0
995002,where is the city mobile in the us,1
1170488,specific types of leukocytes,0
839722,what is the population in buffalo ny,1
501127,species biology definition,0
1016901,which part of europe is united kingdom in,1
933225,what's the temperature in shanghai,1
195775,good food protein,0
1105633,where does the last name waldrop originate from,0
334427,how old is big sean,0
586570,what causes cirrhosis of the liver,0
30946,average annual growth,0
1130012,how much of a temperature means you have a fever,0
441354,literary terms what is a connotation,0
231254,how far is indianapolis from.detroit?,1
1133629,how does an income statement,0
881038,what nationality is the name vargas,0
1041912,who is the tallest person in the world/,0
1055190,who was president during the great depression,0
63716,can albuterol be used for prophylaxis,0
926874,what year did the california gold rush began,0
673841,what is a aso,0
1133765,how do i use dormant oil,0
613856,"what county is tucker, ga",1
1013784,which muscles are used for inspiratory pressures,0
690785,what is a metaphor ks2,0
652977,what does the symbol =) mean?,0
112731,cricket wireless address,0
208286,how big are weasels,0
372731,how to play the game marbles,0
560286,what are important uses for graphite,0
1098025,how long for the irs to send refund,0
1028351,who has won the most french open men's title,0
872278,what language does kaminos speak,0
14925,airlines that fly from spokane to portland,1
381985,how to support strategy,0
734138,what is considered soldiers serving,0
265995,how long of flight from hawaii to japan,1
1010720,which hotels are located on the atlantic city boardwalk in nj,1
583089,what canyon is in arizona,1
292748,how many people live in the scotland,1
980333,where is colorado school of mines located,1
610509,what county is norwalk connecticut,1
814062,what is the cycle of hormones before a period,0
603435,"what county is brandon, sd",1
1037794,what is the language of myanmar,1
805262,what is the area code for la,1
564920,what are sites that touch the mississippi,1
955550,when to move climbing roses,0
995765,where is the gold in alaska,1
1151316,what is the diagnosis code for hormone replacement,0
945811,when does a tenant need to be given notice of foreclosure,0
728902,what is celery made of,0
552476,what airport do you fly into for maui hawaii,1
271357,how long to keep mushrooms,0
603343,"what county is boonton, nj",1
1079105,word meaning speechify,0
1134305,highest point in manitoba baldy mountain,1
848478,what is the state tax rate for orange county ca,1
839977,what is the population of maldives,1
473844,perrigo stock price,0
852650,what is the use tax rate for denver,1
1009164,which episode says i am the one who knocks,0
974752,where does the ocelot live,1
1167523,weather in summer tokyo,1
589978,what causes muscle pain all over,0
1041641,who is the richest owner in nfl,0
885320,what part of the world does maize come from,1
859828,what is used to indicate a search term can be anywhere in a string of text,0
549218,what a orthopedic doctor does,0
1108845,what states have local income taxes,1
535301,va tax contact,0
53174,biggest house in the world price,1
