query_id,query_text,y
595965,what city is hurricane harbor located in texas,1
1181296,how early can you register to vote,0
995986,where is the hills located in lynchburg va,1
534072,us postal services track,0
543176,weather hurricane mexico,1
613830,what county is tripoli wi in,1
316822,how much does it cost to run a iron,0
1030703,who is bo biden,0
958345,when was john dickinson died,0
38441,average lifespan american male,0
934687,whats the first day of the year in north korea,1
18705,another name for antipasto skewers,0
824033,what is the greatest depth in meters for the pacific ocean,1
383849,how to treat sore gums,0
418969,is natural gas a pollutant,0
1140073,definition of assessing,0
812101,what is the conflict,0
285709,how many hours are considered part time,0
114059,current prime lending rate in us,1
976534,where is albany nh,1
868341,what kind of food is grown in a tropical climate zone,1
994367,where is the airport in las vegas,1
913166,what type of light is used for photosynthesis,0
27915,at what age can a child separate eye movements form head movements,0
1134556,great american insurance company telephone number,0
53607,biggest university campus in the world,1
722760,what is bc,0
839526,what is the plural of the word addendum,0
831716,what is the meaning of the name powell,0
940901,when did spain cede louisiana to france,1
488440,restaurant foods containing sulfites,0
1167629,"weather in plymouth, in",1
595759,what city has the oldest public park in the us,1
428507,is there a speed limit in the hov lanes,1
997463,where is the s drive on my computer,0
1130492,how much does an endocrinologist get paid,0
807007,what is the average salary in utah,1
573454,what are the sic codes,0
499113,skye' meaning of name,1
594705,what channel is the college basketball national championship game on,0
1170257,surreal meaning,0
865577,what its called when mouth and jaw constantly move,0
559817,what are header flanges,0
54692,blood vessels in the eye facts,0
1174029,location of village of the lost,1
1176542,how much would i receive for disability social security?,0
993656,where is stratford nj,1
394200,in what part of kentucky is cincinnati located,1
821452,what is the first day of summer when is the birthday of summer,0
384135,how to turn on shadow copy for windows 8,0
935345,when and where did hurricane sandy strike,1
375479,how to register customary land in png,1
13737,age of kids in the front seat of a car,0
541730,water in the unsaturated zone is called quizlet,0
296848,how many states have legalized medical marijuana,1
614098,what county is vernon alabama in,1
969066,where did olives originate from,1
1040497,who is the guy on the north dakota ads,1
190383,foods to lose weight and build muscle,0
618556,what did Britain obtain from France according to the Treaty of Paris,0
954454,when should fall vegetables be planted,0
1017824,which president ended slavery,0
103048,cost of cap membership,0
604763,what county is crawford tx,1
38716,average manager wage in bc,1
18444,annual average rainfall prescott az,1
704565,what is a type a usb port,0
282495,how many district in sc,1
659303,what fault is near ecuador,1
333097,how old can you be drafted,0
915162,what type of volcano is mount vesuvius,1
983676,where is granite found,1
888672,what process helps roots absorb water,0
178347,effect of talking and legs crossed while checking blood pressure,0
323376,how much is the sales tax in texas,1
237829,how is the weather in turkey in march,1
862372,what is weather in bilbao spain in may,1
967495,where can i buy cape gooseberries,1
55402,boogeyman creature,0
613049,"what county is springfield, or",1
575095,what are the two languages commonly spoken in denmark,1
921149,what was the last war fought on american soil,1
296354,how many square feet in an acre/,0
595602,what cities are in jefferson county colorado,1
1026737,who dies in general hospital,0
815077,what is the definition of honor,0
969843,where did the salsa dance originate from,1
327326,how much should a shower update cost,0
602532,what county is arlington va,1
1169564,the longest day of the year is known as,0
724800,what is blood work for thyroid,0
991768,where is rockstar headquarters,1
1030962,who is buried next to jfk,0
46355,average tucson temperature by month,1
726222,what is buc,0
979463,where is carrier manufactured,1
372196,how to pay hourly employees a salary,0
414459,is it presidents' day or president's day,0
552436,what airport code is fee,1
1092539,most commonly spoken austronesian language,0
834575,what is the name of cos,1
185534,fastest speed on earth,0
552877,what airports are close to big sky mt,1
511688,temperature change formula physics,0
985390,where is jim beam from,1
155700,do clouds form in the vab,0
813039,what is the cost to hire an employee,0
568597,what are the crts,0
1003263,where was rita coolidge born,1
848519,what is the statue of limitation to collect a date,0
347879,how to cancel tidal subscription,0
153112,distance between ga and gatlinburg,1
451036,medicaid wisconsin phone number,1
